,id,has_Human1
333,ENSG00000090013,True
334,ENSG00000106605,True
335,ENSG00000105223,True
336,ENSG00000198814,True
337,ENSG00000186281,True
338,ENSG00000155189,True
339,ENSG00000087157,True
340,ENSG00000110536,True
341,ENSG00000088766,True
342,ENSG00000134326,True
343,ENSG00000112096,True
344,ENSG00000142168,True
345,ENSG00000176153,True
346,ENSG00000233276,True
347,ENSG00000104687,True
348,ENSG00000100075,True
349,ENSG00000075415,True
350,ENSG00000151729,True
351,ENSG00000169100,True
352,ENSG00000005022,True
353,ENSG00000175564,True
354,ENSG00000175567,True
355,ENSG00000183048,True
356,ENSG00000181035,True
357,ENSG00000182902,True
358,ENSG00000102743,True
359,ENSG00000197119,True
360,ENSG00000060762,True
361,ENSG00000143158,True
362,ENSG00000147454,True
363,ENSG00000155287,True
364,ENSG00000143515,True
365,ENSG00000101974,True
366,ENSG00000068650,True
367,ENSG00000124406,True
368,ENSG00000206190,True
369,ENSG00000081923,True
370,ENSG00000185633,False
371,ENSG00000011295,False
372,ENSG00000172115,False
