module_id,reactions
M00926,R04109  C02987 -> C03741 R02272  C03741 -> C00430 R00036  C00430 -> C00931 R00084  C00931 -> C01024 R03165  C01024 -> C01051 R03197  C01051 -> C03263 R04178  C03263 -> C05770 R11329  C05770 -> C21284 R11522  C21284 -> C00032
M00089,R00851  C00093 -> C00681 R02241  C00681 -> C00416 R02239  C00416 -> C00641 R02251  C00641 -> C00422
M00093,R01799  C00416 -> C00269 R01800  C00269 -> C02737 R02055  C02737 -> C00350
M00052,"R00158  C00105 -> C00015 R00156  C00015 -> C00075 R00571,R00573  C00075 -> C00063 R00570  C00063 -> C00112"
M00345,R05338  C00199 + C00067 -> C06019 R05339  C06019 -> C00085 R00756  C00085 -> C00354 R01068  C00354 -> C00118
M00344,R01440  C00067 -> C00184 R01011  C00184 -> C00111 R01068  C00111 -> C00354 R00762  C00354 -> C00085
M00855,R02111  C00369 -> C00103 R08639  C00103 -> C00092
M00014,R00286  C00029 -> C00167 R01381  C00167 -> C05385 R01476  C05385 -> C00191 R01383  C00167 -> C03033 R01478  C03033 -> C00191 R01481  C00191 -> C00800 R02640  C00800 -> C00618 R01905  C00618 -> C00312 R01904  C00312 -> C00379 R01896  C00379 -> C00310 R01639  C00310 -> C00231
M00129,"R00289  C00103 -> C00029 R00286  C00029 -> C00167 R01383  C00167 -> C03033 R01478  C03033 -> C00191 R01481  C00191 -> C00800 R02933  C00800 -> C01040 R03184+R00647,R10053  C01040 -> C00072"
M00997,R00286  C00029 -> C00167 R01384  C00167 -> C00190 R01473  C00190 -> C00935
M00999,R00286  C00029 -> C00167 R01385  C00167 -> C00617
M00854,R00289  C00103 -> C00029 R00292  C00029 -> C00718 R00948  C00103 -> C00498 R02421  C00498 -> C00718 R02110  C00718 -> C00369
M00632,R10619  C00124 -> C00984 R01092  C00984 -> C00446 R00955  C00446 + C00029 -> C00052 + C00103 R00291 C00052 -> C00029
M01004,R00291  C00029 -> C00052 R00505  C00052 -> C03733
M00554,R01092 C00984 -> C00446 R00955 C00446 -> C00052
M00114,R00772  C00085 -> C00275 R01818  C00275 -> C00636 R00885  C00636 -> C00096 R00889  C00096 -> C02280 R07678  C02280 -> C15926 R07674  C15926 -> C01825 R07675  C01825 -> C01115 R00640  C01115 -> C00072
M01000,R00772  C00085 -> C00275 R01818  C00275 -> C00636 R00885  C00636 -> C00096
M01016,R00888  C00096 -> C01222 R05692  C01222 -> C00325
M01001,R03161  C01019 -> C02985 R01951  C02985 -> C00325
M00005,R01049  C00117 -> C00119
M00048,"R01072  C00119 + C00064 -> C03090 R04144  C03090 -> C03838 R04325  C03838 -> C04376 R04463  C04376 -> C04640 R04208  C04640 -> C03373 R04209  C03373 -> C04751 R07404  C03373 -> C15667 R07405  C15667 -> C04751 R04591  C04751 -> C04823 R04559  C04823 -> C04677 R04560,R06975  C04677 -> C04734 R01127  C04734 -> C00130"
M00959,"R01227  C00144 -> C00387 R02147  C00387 -> C00242 R01676  C00242 -> C00385 R02103,R02107  C00385 -> C00366"
M00053,R02017 C00008 -> C00206 R01137 C00206 -> C00131 R02019 C00035 -> C00361 R01857 C00361 -> C00286 R02024 C00112 -> C00705 R02326 C00705 -> C00458 R02018 C00015 -> C01346 R02331 C01346 -> C00460
M00938,"R02018  C00015 -> C01346 R02331  C01346 -> C00460 R02100  C00460 -> C00365 R02101,R06613  C00365 -> C00364 R02094  C00364 -> C00363 R02093  C00363 -> C00459"
M00546,"R02103,R02107 C00385 -> C00366 R02106,R09514 C00366 -> C11821 R06601 C11821 -> C12248 R06604 C12248 -> C02350 R02425 C02350 -> C00499 R02422 C00499 -> C00086"
M00968,"R01876  C00299 -> C00620 R02147  C00387 -> C00620 R11535,R13089  C00620 -> C01151 R10836  C00020 -> C01151 R10837  C00055 -> C01151 R10838  C00105 -> C01151 R10555  C01151 -> C01182 R03140  C01182 -> C00197 R13090  C01182 -> C22337 R12696  C22337 -> C00111"
